experiment_id,model,data_types,fusion,gnn_conv,finetune,status,duration_s,start_time,end_time,primary_metric_name,primary_metric_value,pearson_corr,r_squared,mse,f1_score,balanced_accuracy,kappa,c_index,stats_file,run_log_file
experiment1,DirectPred,mutation,early,,False,success,28.58,2025-04-08 10:05:36,2025-04-08 10:06:04,pearson_corr,0.0273442657992568,0.0273442657992568,0.0007477088721004,0.2620173990726471,,,,,output_improved/experiment1.stats.csv,output_improved/run_logs/experiment1.run.log
experiment2,DirectPred,mutation,early,,False,success,32.23,2025-04-08 10:06:04,2025-04-08 10:06:37,pearson_corr,0.0479557635068854,0.0479557635068854,0.0022997552535283,0.3256866633892059,,,,,output_improved/experiment2.stats.csv,output_improved/run_logs/experiment2.run.log
experiment3,DirectPred,rna,early,,False,success,30.84,2025-04-08 10:06:37,2025-04-08 10:07:07,pearson_corr,0.3029153522285701,0.3029153522285701,0.0917577106157586,0.26838219165802,,,,,output_improved/experiment3.stats.csv,output_improved/run_logs/experiment3.run.log
experiment4,DirectPred,rna,early,,False,success,32.18,2025-04-08 10:07:07,2025-04-08 10:07:40,pearson_corr,0.3486586169397907,0.3486586169397907,0.1215628311663677,0.2983961105346679,,,,,output_improved/experiment4.stats.csv,output_improved/run_logs/experiment4.run.log
experiment5,DirectPred,cnv,early,,False,success,34.23,2025-04-08 10:07:40,2025-04-08 10:08:14,pearson_corr,0.0959614406452748,0.0959614406452748,0.0092085980907166,0.3928898572921753,,,,,output_improved/experiment5.stats.csv,output_improved/run_logs/experiment5.run.log
experiment6,DirectPred,cnv,early,,False,success,40.18,2025-04-08 10:08:14,2025-04-08 10:08:54,pearson_corr,0.0691027899854015,0.0691027899854015,0.0047751955837665,0.4460143148899078,,,,,output_improved/experiment6.stats.csv,output_improved/run_logs/experiment6.run.log
experiment7,DirectPred,"mutation,rna",early,,False,success,41.0,2025-04-08 10:08:54,2025-04-08 10:09:35,pearson_corr,0.22320435214984,0.22320435214984,0.0498201828186298,0.3520651757717132,,,,,output_improved/experiment7.stats.csv,output_improved/run_logs/experiment7.run.log
experiment8,DirectPred,"mutation,rna",early,,False,success,38.21,2025-04-08 10:09:35,2025-04-08 10:10:13,pearson_corr,0.3257667675188936,0.3257667675188936,0.1061239868197089,0.3261992931365967,,,,,output_improved/experiment8.stats.csv,output_improved/run_logs/experiment8.run.log
experiment9,DirectPred,"mutation,rna",intermediate,,False,success,36.51,2025-04-08 10:10:13,2025-04-08 10:10:50,pearson_corr,0.366731158213887,0.366731158213887,0.134491742404899,0.3290631473064422,,,,,output_improved/experiment9.stats.csv,output_improved/run_logs/experiment9.run.log
experiment10,DirectPred,"mutation,rna",intermediate,,False,success,51.25,2025-04-08 10:10:50,2025-04-08 10:11:41,pearson_corr,0.2938718263273866,0.2938718263273866,0.0863606503089936,0.3261314332485199,,,,,output_improved/experiment10.stats.csv,output_improved/run_logs/experiment10.run.log
experiment11,DirectPred,"mutation,cnv",early,,False,success,57.7,2025-04-08 10:11:41,2025-04-08 10:12:39,pearson_corr,0.0986531207531277,0.0986531207531277,0.0097324382343311,0.4007031917572021,,,,,output_improved/experiment11.stats.csv,output_improved/run_logs/experiment11.run.log
experiment12,DirectPred,"mutation,cnv",early,,False,success,45.38,2025-04-08 10:12:39,2025-04-08 10:13:24,pearson_corr,0.1340073287683325,0.1340073287683325,0.0179579641636239,0.4177293181419372,,,,,output_improved/experiment12.stats.csv,output_improved/run_logs/experiment12.run.log
experiment13,DirectPred,"mutation,cnv",intermediate,,False,success,39.47,2025-04-08 10:13:24,2025-04-08 10:14:04,pearson_corr,0.0709754919028368,0.0709754919028368,0.0050375204508496,0.3453514873981476,,,,,output_improved/experiment13.stats.csv,output_improved/run_logs/experiment13.run.log
experiment14,DirectPred,"mutation,cnv",intermediate,,False,success,41.98,2025-04-08 10:14:04,2025-04-08 10:14:46,pearson_corr,0.1254931367988317,0.1254931367988317,0.0157485273836102,0.3472883999347687,,,,,output_improved/experiment14.stats.csv,output_improved/run_logs/experiment14.run.log
experiment15,DirectPred,"rna,cnv",early,,False,success,42.88,2025-04-08 10:14:46,2025-04-08 10:15:29,pearson_corr,0.2654225907126883,0.2654225907126883,0.0704491516606352,0.3348620235919952,,,,,output_improved/experiment15.stats.csv,output_improved/run_logs/experiment15.run.log
experiment16,DirectPred,"rna,cnv",early,,False,success,41.49,2025-04-08 10:15:29,2025-04-08 10:16:10,pearson_corr,0.2545060509186319,0.2545060509186319,0.0647733299541972,0.4871531724929809,,,,,output_improved/experiment16.stats.csv,output_improved/run_logs/experiment16.run.log
experiment17,DirectPred,"rna,cnv",intermediate,,False,success,57.46,2025-04-08 10:16:10,2025-04-08 10:17:08,pearson_corr,0.3410296102618248,0.3410296102618248,0.1163011950753321,0.4175217747688293,,,,,output_improved/experiment17.stats.csv,output_improved/run_logs/experiment17.run.log
experiment18,DirectPred,"rna,cnv",intermediate,,False,success,40.1,2025-04-08 10:17:08,2025-04-08 10:17:48,pearson_corr,0.3688804315866147,0.3688804315866147,0.1360727728075271,0.4170753359794616,,,,,output_improved/experiment18.stats.csv,output_improved/run_logs/experiment18.run.log
experiment19,DirectPred,"mutation,rna,cnv",early,,False,success,52.3,2025-04-08 10:17:48,2025-04-08 10:18:40,pearson_corr,0.2682401052908371,0.2682401052908371,0.0719527540864393,0.4002229273319244,,,,,output_improved/experiment19.stats.csv,output_improved/run_logs/experiment19.run.log
experiment20,DirectPred,"mutation,rna,cnv",early,,False,success,38.5,2025-04-08 10:18:40,2025-04-08 10:19:18,pearson_corr,0.2212201901608712,0.2212201901608712,0.048938372534812,0.3717604279518127,,,,,output_improved/experiment20.stats.csv,output_improved/run_logs/experiment20.run.log
experiment21,DirectPred,"mutation,rna,cnv",intermediate,,False,success,41.4,2025-04-08 10:19:18,2025-04-08 10:20:00,pearson_corr,0.3317987167338075,0.3317987167338075,0.1100903884262014,0.3818005323410034,,,,,output_improved/experiment21.stats.csv,output_improved/run_logs/experiment21.run.log
experiment22,DirectPred,"mutation,rna,cnv",intermediate,,False,success,46.26,2025-04-08 10:20:00,2025-04-08 10:20:46,pearson_corr,0.3232788699368329,0.3232788699368329,0.1045092277476357,0.3898391425609588,,,,,output_improved/experiment22.stats.csv,output_improved/run_logs/experiment22.run.log
experiment23,supervised_vae,mutation,early,,False,success,82.01,2025-04-08 10:20:46,2025-04-08 10:22:08,pearson_corr,0.0506052331836803,0.0506052331836803,0.0025608896255746,0.3619080781936645,,,,,output_improved/experiment23.stats.csv,output_improved/run_logs/experiment23.run.log
experiment24,supervised_vae,mutation,early,,False,success,81.06,2025-04-08 10:22:08,2025-04-08 10:23:29,pearson_corr,0.0355677755480155,0.0355677755480155,0.001265066657434,0.3501510322093963,,,,,output_improved/experiment24.stats.csv,output_improved/run_logs/experiment24.run.log
experiment25,supervised_vae,rna,early,,False,success,109.3,2025-04-08 10:23:29,2025-04-08 10:25:19,pearson_corr,0.4047542169991721,0.4047542169991721,0.1638259761786129,0.3648903667926788,,,,,output_improved/experiment25.stats.csv,output_improved/run_logs/experiment25.run.log
experiment26,supervised_vae,rna,early,,False,success,75.18,2025-04-08 10:25:19,2025-04-08 10:26:34,pearson_corr,0.3704343399710241,0.3704343399710241,0.1372216002297682,0.3124308288097381,,,,,output_improved/experiment26.stats.csv,output_improved/run_logs/experiment26.run.log
experiment27,supervised_vae,cnv,early,,False,success,62.42,2025-04-08 10:26:34,2025-04-08 10:27:36,pearson_corr,0.0823393020781386,0.0823393020781386,0.0067797606667149,0.428848385810852,,,,,output_improved/experiment27.stats.csv,output_improved/run_logs/experiment27.run.log
experiment28,supervised_vae,cnv,early,,False,success,45.76,2025-04-08 10:27:36,2025-04-08 10:28:22,pearson_corr,0.1179001510505547,0.1179001510505547,0.0139004456177436,0.4458265602588653,,,,,output_improved/experiment28.stats.csv,output_improved/run_logs/experiment28.run.log
